17133,парпуланський сергій афанасійович
28062,єліневський юрій юрійович
4699,карандєєв ростислав володимирович
54314,карпа василь тарасович
7891,костенко інна володимирівна
36634,погорелий михайло анатолійович
54241,кононов віталій васильович
44819,смирнов андрій олександрович
6142,костів олександр зіновійович
43663,галушко микола леонідович
27064,добровольський петро миколайович
7872,приходько костянтин петрович
4960,кришин олег юрійович
5124,тарасюк борис іванович
54229,голюк марина геннадіївна
25643,джегур геннадій васильович
7211,калініченко микола іванович
37171,лівінський михайло олександрович
34446,повшедний михайло павлович
17458,богоніс володимир васильович
41428,коляда оксана василівна
54405,глущенко дмитро борисович
28714,аблов федір валерійович
34896,корбан геннадій олегович
7607,шибко дмитро віталійович
45666,ларін євген олександрович
43661,горобець олександр сергійович
5029,мураєв євгеній володимирович
47556,панов олександр олександрович
6303,синчук василь людвигович
5740,юрченко ярослав олександрович
23826,соскін олександр маркович
16817,шарунова ольга веніамінівна
23904,романов валерій петрович
23845,приходько людмила олександрівна
8573,сивобород олександр леонідович
9770,бушко іван іванович
43646,мінько сергій анатолійович
4940,козак тарас романович
8269,потапчук вячеслав олександрович
27690,дмитрієв олег юрійович
6964,ніколаєнко андрій іванович
54310,погоріла людмила григорівна
34046,воїнський володимир іванович
9833,ілик роман романович
9589,люлька володимир анатолійович
54347,саєнко сергій іванович
43832,новосад ганна ігорівна
33863,гаврилюк олена сергіївна
26061,прошкуратов олексій михайлович
16890,нагайченко сергій вікторович
54487,дуленко вячеслав анатолійович
9766,булах вікторія володимирівна
17499,шапошнікова тетяна миколаївна
5075,продан оксана петрівна
26028,райлян георгій андрійович
24195,нечепоренко сергій олександрович
54315,возний святослав романович
23816,жига ольга павлівна
54181,трушеньов дмитро олександрович
6249,літвіна валентина василівна
52867,палієнко олександр олександрович
54228,медведєв максим миколайович
26896,крикавський сергій андрійович
27030,хомяк павло володимирович
54675,котов владислав володимирович
7438,ревенко наталія олександрівна
8846,гірник тетяна анатоліївна
27107,садовський дмитро вікторович
45499,чередніченко дар’я петрівна
17507,танков григорій вікторович
28058,дубінко дмитро олегович
7668,процай ігор анатолійович
16959,горін олександр васильович
34628,мирошник павло олександрович
54396,лисаковський роман володимирович
54349,коваль дмитро віталійович
24078,фощій микола васильович
16799,жупаненко віктор миколайович
6680,чаплига михайло вячеславович
1678,хохич ігор михайлович
5202,шпек роман васильович
23715,романовський володимир миколайович
52858,карленко юрій костянтинович
23864,іщенко андрій валерійович
8742,бєдєлєв сергій іванович
49756,пильченко андрій олегович
6743,балін володимир анатолійович
23936,квятківський юрій вікторович
47577,цимбал олександр євгенійович
6304,соколовий вячеслав петрович
9929,пехов володимир анатолійович
7059,шевляк ілля миколайович
23878,чередник андрій володимирович
23761,богомол олександр миколайович
53534,гронт ольга сергіївна
54771,макаренко віталій олексійович
24144,мосійчук вадим адамович
23805,солянік юлія валеріївна
4674,саруханян аршак ашотович
19716,одд рулав володимирович
5581,єлізаренко ірма анатоліївна
31750,жуков сергій вікторович
17554,садов’юк олександр петрович
6305,чепіжак дмитро миколайович
28375,білінський петро степанович
24145,прокопчук олег михайлович
28688,райко дмитрій юрійович
8326,мартиненко олександр васильович
24072,граділь андрій іванович
9523,косінов станіслав анатолійович
17310,ус інна олександрівна
24056,галущак андрій едуардович
54086,романюк сергій йосипович
5350,фурик юрій петрович
23740,зінченко олександр іванович
9762,борт віталій петрович
35434,сипко олег дмитрович
24014,овчаренко сергій анатолійович
6769,георгієвська вікторія володимирівна
642,сторожук дмитро анатолійович
8167,хилевич сергій віталійович
47611,войцеховська наталія альгердасівна
5400,мироненко олександр власович
4875,дехтярчук олександр володимирович
8525,кушнерук дмитро володимирович
28135,осипенко юрій андрійович
28059,черненко леонтій андрійович
7575,вербич томаш іванович
36091,бубліков сергій сергійович
9740,аркаллаєв нуруліслам гаджиєвич
7409,раздобудько сергій григорович
23719,дятловський володимир васильович
9883,литвинов леонід федорович
33317,савицький павло павлович
49771,медовяк ігор святославович
24024,іліка дмитро іванович
33352,тимошевський володимир опанасович
7078,мотуляк віктор дмитрович
15356,коміссаров євген олександрович
14790,маловічко юрій павлович
54718,чурилов валерій володимирович
54719,лавришин мар’яна михайлівна
15303,соркін ігор в'ячеславович
5220,шевчук станіслав володимирович
54706,давидов руслан анатолійович
24225,лопушанський тарас васильович
16870,василець наталія володимирівна
24123,денисенко костянтин миколайович
9488,дубок валентин петрович
27273,аніщенко сергій михайлович
8572,іванков микола володимирович
8057,паленик ігор григорович
