id_PEP,kids_actual,kids_expected,wife_actual,wife_expected,total_property_assets,total_property_assets_divide_income,sum_income,am_avto,am_avto_without_price,am_real_estate,am_real_estate_without_price,am_land,am_land_without_price,no_real_estate_adress,no_real_estate_region,sum_act_property_cash,sum_act_property_cash_divide_sum_prev_property_cash,sum_prev_property_cash,sum_act_sale_property,sum_prev_sale_property,sum_income_divide_sum_act_property_minus_sum_prev_property,sum_taken_teaching_dopwork,sum_taken_teaching_dopwork_divide_sum_income,sum_royalty,sum_royalty_divide_sum_income,sum_income_assets,sum_spending,sum_present,sum_prize,am_car2013_less150,am_lux_car,sum_cash,sum_cash_assets,sum_prev_cash_assets,sum_cash_min_year,sum_cash_min_year_divide_sum_income_min_year,sum_income_min_year,sum_spending_divide_sum_income,am_company_noBeneficInform,am_company,sum_money_spending,sum_crypto,am_live_property_rent_300more
1109,0.0,1.0,1.0,1.0,,,3101606.0,,,,,,,,,,,,,,,2369537.0,76.3971,,,,,,,,1.0,13452533.6,13452533.6,12056500.8,12051940.0,7.4952,1607954.0,,,,,,
1110,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,,,,,10557600.6,18.4484,572276.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4696433.6,5.6547,830531.0,,,,,,
1114,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640033.85,309922.78,,,,,,,,,
1115,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317791.28,,,,,,,,,,,
1118,3.0,4.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1120,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,0.0,1.0,0.0,0.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1125,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2860799.704,1705477.7868,,,,,,,,,
1126,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1748033.6,,,,,,,,,,,
1128,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3149496.0,,,,,,,,,,,
1132,1.0,3.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1133,,,,,,,410316.0,,,,,,,,,,,,,,,,,,,555316.0,595594.0,,,,,,,,,,,145.155,,,,,
1136,1.0,3.0,0.0,1.0,7389505.8,38.6482,191199.0,,,,,,,,,,,,,,,,,,,,,,,,,5461419.8,5474921.8,34236.0,,,,,,,,,
1137,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,480400.0,,,,11201784.0,14345414.6816,14093195.9736,,,,,,,,,
1144,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,,,,,9519736.6,12.9694,734013.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2123569.6,,,2992230.0,8.9303,335064.0,,,,,,
1148,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346857.0,,,,,,,,,,,,,,,
1150,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7338134.0,8059718.3224,6940255.4192,8103539.8,6.3061,1285042.0,,,,,,
1151,0.0,1.0,0.0,0.0,,,231480.0,,,,,,,,,,,,,,,,,,,,668073.0,,,,,,,,,,,288.6094,,,,,
1154,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1155,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,249573.0,,,,,,,,,,,,,,,
1273,0.0,1.0,0.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,,,,1180279.0,,,1.0,1.0,,,,,,,,,,,1021945.0,86.585,,,,,,,,1.0,,,,,,,,,,,,
1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3927580.8,3979074.8,3281881.8,,,,,,,,,
1310,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1330,,,,,5675304.8884,32.7405,173342.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2079474.0,,,2079474.0,11.9964,173342.0,,1.0,,,,
1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5012424.0,139.354,35969.0,,,,,,
1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254646.2,,,2781792.42,9.3044,298976.0,,,,,,
1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1370,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840373.6,,,,,,,,,,,
1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,,2170202.4,,,,,,,,,,,
1493,,,,,,,1377615.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1640483.0,,,,,,,,,,,119.0814,,,,,
1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,201415.0,,,1.0,9018636.0,,,14907870.0,10.1321,1471354.0,,,,,,
1519,1.0,2.0,0.0,0.0,8924363.5232,11.2149,795762.0,,,,,,,,,,,,,,,,,,,,,,,,,8749652.7,,,11721006.7,65.2694,179579.0,,,,,,
1570,,,,,,,,,,3.0,1.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,,,,,1204094.68,12.5645,95833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,988525.68,10.3151,95833.0,,,,,,
1630,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,8063191.6,,,9876644.0,45.9449,214967.0,,,,,,
1658,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,715604.0,,,,,,,,,,,,,,,,,,,715604.0,740043.0,,,,1.0,,,,,,,103.4152,,,,,
1689,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,2931126.8,,,,,,,,,,,
1949,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2567722.0,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210716.4,,,2478270.0,6.8323,362731.0,,,,,,
1998,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584782.8,6.5686,89027.0,,,,,,
